日付,祝日名
2025-01-01,元日
2025-01-02,休日
2025-01-03,休日
2025-01-13,成人の日
2025-02-11,建国記念の日
2025-02-23,天皇誕生日
2025-02-24,振替休日
2025-03-20,春分の日
2025-04-29,昭和の日
2025-04-30,休日
2025-05-01,休日
2025-05-02,休日
2025-05-03,憲法記念日
2025-05-04,みどりの日
2025-05-05,こどもの日
2025-05-06,振替休日
2025-07-21,海の日
2025-08-11,山の日
2025-09-15,敬老の日
2025-09-23,秋分の日
2025-10-13,スポーツの日
2025-11-03,文化の日
2025-11-23,勤労感謝の日
2025-11-24,振替休日
2025-12-29,休日
2025-12-30,休日
2025-12-31,大晦日
2026-01-01,元日
2026-01-02,休日
2026-01-12,成人の日
2026-02-11,建国記念の日
2026-02-23,天皇誕生日
2026-03-20,春分の日
2026-04-29,昭和の日
2026-04-30,休日
2026-05-01,休日
2026-05-02,休日
2026-05-03,憲法記念日
2026-05-04,みどりの日
2026-05-05,こどもの日
2026-05-06,振替休日
2026-07-20,海の日
2026-08-10,休日
2026-08-11,山の日
2026-09-21,敬老の日
2026-09-22,国民の休日
2026-09-23,秋分の日
2026-10-12,スポーツの日
2026-11-02,休日
2026-11-03,文化の日
2026-11-23,勤労感謝の日
2026-12-28,休日
2026-12-29,休日
2026-12-30,休日
2026-12-31,大晦日
2027-01-01,元日
2027-01-11,成人の日
2027-02-11,建国記念の日
2027-02-12,休日
2027-02-22,休日
2027-02-23,天皇誕生日
2027-03-22,春分の日
